time,pred,entry,exit,result,pnl,cum_pnl
2025-07-14 22:15:00,SELL,3343.083,3344.083,SL,-1.0,-717.0
2025-07-14 22:20:00,SELL,3343.0,3344.0,SL,-1.0,-718.0
2025-07-14 22:25:00,SELL,3344.072,3343.572,TP,0.5,-717.5
2025-07-14 22:30:00,SELL,3344.154,3345.154,SL,-1.0,-718.5
2025-07-14 22:35:00,SELL,3344.492,3343.992,TP,0.5,-718.0
2025-07-14 22:40:00,SELL,3344.631,3344.131,TP,0.5,-717.5
2025-07-14 22:45:00,SELL,3344.285,3345.285,SL,-1.0,-718.5
2025-07-14 22:50:00,BUY,3344.559,3345.059,TP,0.5,-718.0
2025-07-14 22:55:00,BUY,3345.792,3346.292,TP,0.5,-717.5
2025-07-14 23:00:00,BUY,3345.904,3344.904,SL,-1.0,-718.5
2025-07-14 23:05:00,BUY,3344.944,3345.444,TP,0.5,-718.0
2025-07-14 23:10:00,SELL,3344.025,3345.025,SL,-1.0,-719.0
2025-07-14 23:15:00,BUY,3344.559,3345.059,TP,0.5,-718.5
2025-07-14 23:20:00,BUY,3344.468,3344.968,TP,0.5,-718.0
2025-07-14 23:25:00,BUY,3344.732,3345.232,TP,0.5,-717.5
2025-07-14 23:30:00,BUY,3344.785,3345.285,TP,0.5,-717.0
2025-07-14 23:35:00,BUY,3345.487,3345.987,TP,0.5,-716.5
2025-07-14 23:40:00,BUY,3345.921,3344.921,SL,-1.0,-717.5
2025-07-14 23:45:00,SELL,3345.51,3345.01,TP,0.5,-717.0
2025-07-14 23:50:00,SELL,3345.317,3346.317,SL,-1.0,-718.0
2025-07-14 23:55:00,SELL,3345.337,3346.337,SL,-1.0,-719.0
2025-07-15 00:00:00,BUY,3346.306,3346.806,TP,0.5,-718.5
2025-07-15 00:05:00,SELL,3346.344,3345.844,TP,0.5,-718.0
2025-07-15 00:10:00,SELL,3346.602,3347.602,SL,-1.0,-719.0
2025-07-15 00:15:00,BUY,3347.158,3347.658,TP,0.5,-718.5
2025-07-15 00:20:00,BUY,3347.671,3348.171,TP,0.5,-718.0
2025-07-15 00:25:00,BUY,3347.508,3348.008,TP,0.5,-717.5
2025-07-15 00:30:00,BUY,3347.611,3346.611,SL,-1.0,-718.5
2025-07-15 00:35:00,BUY,3346.598,3347.098,TP,0.5,-718.0
2025-07-15 00:40:00,BUY,3346.981,3347.481,TP,0.5,-717.5
2025-07-15 00:45:00,BUY,3347.446,3346.446,SL,-1.0,-718.5
2025-07-15 00:50:00,BUY,3346.544,3347.044,TP,0.5,-718.0
2025-07-15 00:55:00,BUY,3347.626,3348.126,TP,0.5,-717.5
2025-07-15 01:00:00,BUY,3348.26,3348.76,TP,0.5,-717.0
